STATIONID,LATITUDE,LONGITUDE
US10cher007,42.942,-100.71
US10cher008,42.9975,-100.2211
US10cher009,42.4568,-100.5756
US10cher010,42.198,-101.777
US10cher011,42.6624,-100.4779
US10cher012,42.4781,-100.9129
US10cher013,42.3536,-100.6312
US10cher014,42.293,-100.3597
US10cher016,42.9375,-101.2438
US10cher017,42.7032,-100.6163
US10cher018,42.9955,-101.7119
US10cher019,42.8679,-101.4056
US10cher022,42.9816,-100.5682
US10cher023,42.6315,-100.6702
US10cher024,42.82,-101.2825
US10cher025,42.6558,-100.2688
US10cher026,42.4186,-101.557
US10cher027,42.8978,-101.2733
US10cher028,42.8151,-101.613
US10cher032,42.6638,-100.6651
US10cher034,42.8918,-100.5877
US10chey002,41.2638,-102.8855
US10chey003,41.4098,-102.972
US10chey004,41.1548,-103.1077
US10chey005,41.04,-102.96
US10chey007,41.127,-102.97
US10chey008,41.1491,-102.6355
US10chey009,41.1059,-102.8108
US10chey010,41.3766,-103.0495
US10chey012,41.2225,-102.726
US10chey013,41.2369,-102.8361
US10chey014,41.3945,-103.0327
US10chey015,41.2922,-102.8016
US10chey016,41.414,-102.695
US10chey017,41.2098,-103.2978
US10chey018,41.3722,-103.1112
US10chey019,41.3264,-102.9948
US10chey021,41.1554,-102.9844
US10chey022,41.1271,-102.9594
US10chey024,41.4188,-102.9737
US10chey025,41.1289,-102.9701
US10chey026,41.2586,-103.2644
US10chey027,41.1772,-103.2022
US10chey028,41.0317,-102.9277
US10chey029,41.3956,-103.3643
US10chey030,41.3903,-103.2967
US10chey031,41.175,-102.6462
US10chey032,41.0675,-102.6314
US10chey033,41.0246,-103.2684
US10chey034,41.2661,-102.9896
US10chey035,41.118,-103.1154
US10chey036,41.1334,-103.2254
US10chey037,41.0622,-103.2221
US10chey038,41.2362,-102.6945
US10chey040,41.3504,-103.2507
US10chey041,41.202,-103.163
US10chey045,41.2807,-102.9306
US10chey046,41.189,-103.2204
US10chey047,41.0054,-102.9378
US10chey049,41.0492,-103.1975
US10chey053,41.0856,-102.6689
US10chey056,41.3499,-102.8094
US10chey060,41.1339,-102.9777
US10chey064,41.2077,-103.2092
US10chey065,41.1936,-102.9917
US10clay002,40.3504,-97.897
US10clay004,40.5318,-98.107
US10clay005,40.4019,-97.9945
US10clay007,40.5099,-98.2439
US10clay008,40.4549,-98.0329
US10clay009,40.6115,-98.2773
US10clay012,40.6698,-98.1668
US10clay013,40.4615,-98.0694
US10clay015,40.6114,-97.8523
US10clay017,40.4517,-97.9066
US10clay018,40.526,-98.0537
US10clay019,40.5402,-98.2414
US10clay020,40.5245,-98.1652
US10clay021,40.4813,-98.1273
US10clay023,40.4473,-98.0466
US10clay024,40.6942,-98.0532
US10clay025,40.4224,-98.2226
US10clay027,40.4522,-98.2156
US10clay029,40.4086,-98.1087
US10clay037,40.5967,-97.8673
US10clay039,40.6236,-98.0925
US10clay041,40.5199,-98.0526
US10clay044,40.6101,-97.8621
